"id","question","answer_a","answer_b","answer_c","answer_d","correct_answer","explanation"
"1","剣がモチーフのシンフォギアを纏っている装者は、誰か？","立花 響","風鳴 翼","雪音 クリス","小日向 未来","b","聖遺物「天羽々斬」を纏っている。"
"2","戦記絶唱シンフォギア（1期）の敵キャラは誰か？","フィーネ","キャロル","ウェル博士","ガリィ","a","人里はなれた山間部に邸宅を構えている謎の存在。"
"3","拳がモチーフのシンフォギアを纏っている装者は、誰か？","立花 響","風鳴 翼","雪音 クリス","小日向 未来","a","聖遺物「ガングニール」を纏っている。"
"4","銃がモチーフのシンフォギアを纏っている装者は、誰か？","立花 響","風鳴 翼","雪音 クリス","小日向 未来","c","聖遺物「イチイバル」を纏っている。"
"5","命を燃やす歌「〇〇」〇〇に入る言葉は？
","絶唱","絶気","絶頂","絶句","a","歌ってはダメ！！！！！（未来）"
"6","フィーネに対抗するために、使った剣の名前は？","アイアンソード
","スカイソード","ダインズレイフ","デュランダル","d","そいつが切り札だ！！"
"7"," 響の名言はどれ？","「最速でﾂ！最短でﾂ！まっすぐにﾂ！一直線にﾂ！！」","「最短でﾂ！最速でﾂ！まっすぐにﾂ！一直線にﾂ！！」","「まっすぐにﾂ！最短でﾂ！最速でﾂ！一直線にﾂ！！」
","「最短でﾂ！最速でﾂ！一直線にﾂ！！まっすぐにﾂ！」","a","正義を信じて、握りしめて〜"
"8","翼が響にフィーネ戦を託した時、生まれた名言は？","「燃え尽きそうな空に、歌が聞こえてくるんだ。諦めるなﾂ！」
  ","「思いつきを数字で語れるものかよ！」","「勝機をこぼすな！掴み取れ！」","「絶対に負けられない戦いがここにあるﾂ！」","c","シンフォギア史上最強の名言！"
"9"," 戦記絶唱シンフォギア（1期）で死亡したキャラは？","立花 響","風鳴 翼","天羽 奏","小日向 未来","c",">奏は響を救うため、多大な負荷のかかる切り札「絶唱」を歌い、バックファイアに耐えられず戦死。"
"10","１話で未来がお参りに行っていたとき、遺影に写っていたキャラは誰か？","立花 響
","風鳴 翼","天羽 奏","小日向 未来","a","響いいいいい！！！！"
